tag,text
grades,Where can i see my grades
grades,Did i pass the exam?
grades,When are the grades coming out.
grades,Did i fail my exam?
grades,Are que grades posted already?
grades,Where are the grades hanged?
grades,Do i nedd to retake my exam??
grades,Do i need to retake the course?
grades,Did many people fail the exam?
courses,What is my calendar for today
courses,Show my courses
courses,Show my weekly calendar
courses,What do we have now?
courses,Where is the course calendar?
courses,Where is my next class?
courses,WHere do i have to go for the class?
courses,Where is my math class?
food,Is there a cafeteria around here
food,Is there a way i can get something to eat
food,I am starving
food,I need food
food,I want to eat
food,What is in the menu
food,Where can i get a snack
food,Where can i get something to drink
food,I am getting hungry
food,i there a vending machine near.
food,where can i get something to drink
food,someplace near to have a drink
food,can I grab something to eat?
food,tell me is there some place to go for a drink
sports,When is the next game
sports,What are the last resultd
sports,Where can i do some sport
sports,what are the next games
sports,Where can i watch the game
adresses,Where is the building
adresses,Where is the sport courts
adresses,Where is the pitch
adresses,Where is the cafeteria
adresses, i needd to go to the departments
adresses, i need to talk to the professor
adresses, where do oi can get the books
adresses, where is the aula
adresses, where is the bus stop
adresses, where isthe parking
adresses, the way to the building
adresses, where can i get the bus
greetings, Hello
greetings, Hi
greetings, How are you doing?
greetings, Howdy
greetings, Nice to talk to you
